Client,RiskTolerance,Region,TotalInvestment,YearsOfInvestmentExperience,AnnualFeeRate,TotalServiceFee,TotalServiceCost,NetIncome,ProfitMargin
client29,low,North America,1048003190,36,0.5,5240015.95,6812020.73,-1572004.78,-30
client30,low,North America,993733778.1,32,0.5,4968668.89,6459269.56,-1490600.67,-30
client31,low,North America,1045517643,22,0.7,7318623.5,6795864.68,522758.82,7.14
client32,low,North America,495782457.6,31,0.6,2974694.75,3222585.97,-247891.22,-8.33
client33,low,North America,492957537.2,25,0.7,3450702.76,3204223.99,246478.77,7.14
client34,low,North America,507422655.9,25,0.7,3551958.59,3298247.26,253711.33,7.14
client35,low,North America,506681774.7,34,0.5,2533408.87,3293431.54,-760022.67,-30
client36,low,North America,502432433.6,33,0.5,2512162.17,3265810.82,-753648.65,-30
client37,low,North America,487887413.6,28,0.6,2927324.48,3171268.19,-243943.71,-8.33
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57
client40,high,North America,49126491.78,12,4.7,2308945.11,319322.2,1989622.91,86.17
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57
client44,high,North America,48110741.24,1,13.3,6398728.58,312719.82,6086008.76,95.11
client45,middle,North America,51447647.45,24,1.4,720267.06,334409.71,385857.35,53.57
client46,low,Europe,447607773.4,28,0.6,2685646.64,2909450.53,-223803.89,-8.33
client47,low,Europe,314816579.9,26,0.6,1888899.48,2046307.77,-157408.29,-8.33
client48,low,Europe,531718742.6,35,0.5,2658593.71,3456171.83,-797578.12,-30
client49,low,Europe,474454455,28,0.6,2846726.73,3083953.96,-237227.23,-8.33
client50,low,Europe,558851621.8,25,0.7,3911961.35,3632535.54,279425.81,7.14
client51,low,Europe,458579169.8,14,1.1,5044370.87,2980764.6,2063606.27,40.91
client52,low,Europe,455797852,28,0.6,2734787.11,2962686.04,-227898.93,-8.33
client53,low,Europe,377925374.1,33,0.5,1889626.87,2456514.93,-566888.06,-30
client54,low,Europe,483564294.3,27,0.6,2901385.77,3143167.91,-241782.14,-8.33
client55,low,Europe,581243048.5,29,0.6,3487458.29,3778079.82,-290621.53,-8.33
client56,low,Europe,281913244.1,27,0.6,1691479.46,1832436.09,-140956.63,-8.33
client57,low,Europe,666751065.9,33,0.5,3333755.33,4333881.93,-1000126.6,-30
client58,low,Europe,625193824,27,0.6,3751162.94,4063759.86,-312596.92,-8.33
client59,low,Europe,190280087,30,0.6,1141680.52,1236820.57,-95140.05,-8.33
client60,low,Europe,225609349.3,32,0.5,1128046.75,1466460.77,-338414.02,-30
client61,low,Europe,230383080,19,0.8,1843064.64,1497490.02,345574.62,18.75
client62,low,Europe,220207641.9,29,0.6,1321245.85,1431349.67,-110103.82,-8.33
client63,low,Europe,175835067.4,37,0.5,879175.34,1142927.94,-263752.6,-30
client64,low,Europe,222354608.3,40,0.4,889418.43,1445304.95,-555886.52,-62.5
client65,low,Europe,168271405.3,24,0.7,1177899.84,1093764.13,84135.71,7.14
client66,low,Europe,208842731.3,36,0.5,1044213.66,1357477.75,-313264.09,-30
client67,low,Europe,217729628.1,38,0.5,1088648.14,1415242.58,-326594.44,-30
client68,middle,Europe,91513802.26,16,1.9,1738762.24,594839.71,1143922.53,65.79
client69,middle,Europe,97774487.85,17,1.8,1759940.78,635534.17,1124406.61,63.89
client70,middle,Europe,97881748.11,22,1.5,1468226.22,636231.36,831994.86,56.67
client71,low,Europe,121400586.8,29,0.6,728403.52,789103.81,-60700.29,-8.33
client72,middle,Europe,74388991.64,22,1.5,1115834.87,483528.45,632306.42,56.67
client73,middle,Europe,76497961.29,23,1.4,1070971.46,497236.75,573734.71,53.57
client74,low,Europe,117056920.4,30,0.6,702341.52,760869.98,-58528.46,-8.33
client75,low,Europe,101074458.4,24,0.7,707521.21,656983.98,50537.23,7.14
client76,middle,Europe,75779263.46,18,1.7,1288247.48,492565.21,795682.27,61.76
client77,middle,Europe,58972895.01,12,2.4,1415349.48,383323.82,1032025.66,72.92
client78,low,Europe,128878797.6,24,0.7,902151.58,837712.18,64439.4,7.14
client79,middle,Europe,99437416.46,17,1.8,1789873.5,646343.21,1143530.29,63.89
client80,middle,Middle East,477992367.1,18,1.8,8603862.61,3106950.39,5496912.22,63.89
client81,low,Middle East,521892196.8,29,0.6,3131353.18,3392299.28,-260946.1,-8.33
client82,low,Middle East,656987619.7,31,0.6,3941925.72,4270419.53,-328493.81,-8.33
client83,low,Middle East,543170274.8,23,0.7,3802191.92,3530606.79,271585.13,7.14
client84,middle,Middle East,475155157.8,12,2.5,11878878.94,3088508.53,8790370.41,74
client85,low,Middle East,560769838.6,41,0.4,2243079.35,3645003.95,-1401924.6,-62.5
client86,middle,Middle East,443340674,20,1.7,7536791.46,2881714.38,4655077.08,61.76
client87,high,Middle East,154583005.8,7,7.3,11284559.43,1004789.54,10279769.89,91.1
client88,middle,Middle East,201934157.2,26,1.3,2625144.04,1312572.02,1312572.02,50
client89,middle,Middle East,243539084,20,1.7,4140164.43,1583004.05,2557160.38,61.76
client90,middle,Middle East,220161076.5,22,1.5,3302416.15,1431047,1871369.15,56.67
client91,high,Middle East,156872898,17,3.8,5961170.12,1019673.84,4941496.28,82.89
client92,high,Middle East,190114824.5,7,7.3,13878382.19,1235746.36,12642635.83,91.1
client93,middle,Middle East,267137951.8,26,1.3,3472793.37,1736396.69,1736396.68,50
client94,middle,Middle East,255002696.2,25,1.4,3570037.75,1657517.53,1912520.22,53.57
client95,high,Middle East,21298270.51,16,4,851930.82,138438.76,713492.06,83.75
client96,high,Middle East,19169308.2,8,6.7,1284343.65,124600.5,1159743.15,90.3
client97,high,Middle East,17808538.28,8,6.7,1193172.06,115755.5,1077416.56,90.3
client98,high,Middle East,19735066.29,15,4.2,828872.78,128277.93,700594.85,84.52
client99,high,Middle East,20171582.12,6,8,1613726.57,131115.28,1482611.29,91.88
client100,high,Middle East,19338414.31,9,6.2,1198981.69,125699.69,1073282,89.52
