Client,RiskTolerance,Region,TotalInvestment,YearsOfInvestmentExperience,AnnualFeeRate,TotalServiceFee,TotalServiceCost,NetIncome,ProfitMargin,Service,AvgAnnualReturn,AnnualReturnVolatility,Liquidity,TotalValue,AvgAnnualFeeRate,ServiceTotalServiceFee,ServiceTotalServiceCost,ProfitMargin,Score,AdjustedScore,AllocPercent
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3,service20,5.85,10.37,low,3859209257,1.92,74096817.74,66421317.5,10.36,287.7569897,10,5.16
client14,high,East Asia,84055233.38,7,6.7,5631700.64,546359.02,5085341.62,90.3,service32,5.29,7.05,low,5676595745,1.84,104449361.7,92729587.69,11.22,209.3148621,8,3.76
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23,service3,5.88,12.81,high,3124121780,4.73,147770960.2,106136894.7,28.17,213.0450506,8,0.53
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23,service10,7.45,14.12,high,2834277620,4.51,127825920.7,89838256.99,29.72,278.3171634,10,8.48
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23,service15,5.57,13.53,high,2957871397,2.56,75721507.76,49606496.93,34.49,199.3893749,7,9.51
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23,service19,8.19,15.62,high,2562099872,4.35,111451344.4,75500794.01,32.26,313.3578339,10,0.75
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23,service20,5.85,10.37,low,3859209257,1.92,74096817.74,66421317.5,10.36,287.7569897,10,2.76
client16,high,East Asia,9257443.83,13,4.4,407327.53,60173.38,347154.15,85.23,service32,5.29,7.05,low,5676595745,1.84,104449361.7,92729587.69,11.22,209.3148621,8,9.8
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1,service3,5.88,12.81,high,3124121780,4.73,147770960.2,106136894.7,28.17,213.0450506,8,8.54
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1,service10,7.45,14.12,high,2834277620,4.51,127825920.7,89838256.99,29.72,278.3171634,10,7.12
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1,service15,5.57,13.53,high,2957871397,2.56,75721507.76,49606496.93,34.49,199.3893749,7,5.26
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1,service19,8.19,15.62,high,2562099872,4.35,111451344.4,75500794.01,32.26,313.3578339,10,3.62
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1,service20,5.85,10.37,low,3859209257,1.92,74096817.74,66421317.5,10.36,287.7569897,10,7.78
client17,high,East Asia,9709585.14,6,7.3,708799.72,63112.3,645687.42,91.1,service32,5.29,7.05,low,5676595745,1.84,104449361.7,92729587.69,11.22,209.3148621,8,1.14
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52,service3,5.88,12.81,high,3124121780,4.73,147770960.2,106136894.7,28.17,213.0450506,8,7.65
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52,service10,7.45,14.12,high,2834277620,4.51,127825920.7,89838256.99,29.72,278.3171634,10,1.99
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52,service15,5.57,13.53,high,2957871397,2.56,75721507.76,49606496.93,34.49,199.3893749,7,5.74
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52,service19,8.19,15.62,high,2562099872,4.35,111451344.4,75500794.01,32.26,313.3578339,10,6.4
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52,service20,5.85,10.37,low,3859209257,1.92,74096817.74,66421317.5,10.36,287.7569897,10,5.3
client18,high,East Asia,11397384.27,8,6.2,706637.82,74083,632554.82,89.52,service32,5.29,7.05,low,5676595745,1.84,104449361.7,92729587.69,11.22,209.3148621,8,8.58
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,5.04
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,2.6
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,4.58
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,0.24
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,0.67
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,0.49
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,4.54
client1,middle,East Asia,182345761.5,19,1.7,3099877.94,1185247.45,1914630.49,61.76,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,5.5
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,9.76
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,0.36
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,0.69
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,0.86
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,5.06
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,2.11
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,3.65
client2,middle,East Asia,183173322.3,17,1.8,3297119.8,1190626.6,2106493.2,63.89,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,0.85
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,9.76
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,4.03
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,4.53
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,1.41
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,0.89
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,6.84
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,2.61
client6,middle,East Asia,156954318.1,17,1.8,2825177.73,1020203.07,1804974.66,63.89,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,3.59
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,7.39
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,8.48
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,4.65
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,4.68
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,9.69
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,0.4
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,6.8
client7,middle,East Asia,185168450.9,17,1.8,3333032.12,1203594.93,2129437.19,63.89,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,5.45
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,7.28
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,0.14
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,8.95
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,3.31
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,5.62
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,4.84
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,0.89
client8,middle,East Asia,195890266.7,24,1.4,2742463.73,1273286.73,1469177,53.57,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,4.33
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,9.49
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,5.45
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,7.89
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,6.85
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,7.1
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,0.57
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,6.28
client10,middle,East Asia,111160328,21,1.5,1667404.92,722542.13,944862.79,56.67,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,9.09
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,4.48
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,9.17
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,4.49
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,0.91
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,3.69
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,9.83
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,7.6
client11,middle,East Asia,106051364.9,18,1.7,1802873.2,689333.87,1113539.33,61.76,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,6.48
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,6.61
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,6.72
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,0.29
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,5.96
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,9.99
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,1.71
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,3.31
client12,middle,East Asia,100142389.7,21,1.5,1502135.85,650925.53,851210.32,56.67,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,3
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,9.76
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,8.21
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,9.37
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,0.94
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,0.44
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,7.89
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,3.55
client13,middle,East Asia,104060749.4,10,2.7,2809640.23,676394.87,2133245.36,75.93,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,3.18
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,8.68
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,0.91
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,8.14
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,2.72
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,0.03
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,7.13
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,9.28
client15,middle,East Asia,90746570.74,7,3.3,2994636.83,589852.71,2404784.12,80.3,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,4.35
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,0.8
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,1.62
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,7.67
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,0.78
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,6.67
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,5.87
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,5.86
client38,middle,North America,53123865.86,16,1.9,1009353.45,345305.13,664048.32,65.79,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,5.88
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,8.3
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,3.44
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,5.77
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,4.04
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,4.08
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,3.14
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,6.66
client39,middle,North America,51991073.26,24,1.4,727875.03,337941.98,389933.05,53.57,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,9.42
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,9.55
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,3.31
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,7.71
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,6.49
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,7.88
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,6.14
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,8.57
client41,middle,North America,50643872.53,25,1.3,658370.34,329185.17,329185.17,50,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,6.55
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,9.2
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,1.08
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,9.02
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,7.83
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,6.25
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,8.48
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service29,3.37,5.64,low,7095744681,1.94,137657446.8,122053668.5,11.34,120.9585345,4,4.69
client42,middle,North America,52285823.57,23,1.4,732001.53,339857.85,392143.68,53.57,service30,4.52,8.19,high,4886446886,5.42,264845421.3,186571007.3,29.55,128.2368849,5,8.79
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57,service6,2.58,9.88,middle,4050607287,2.75,111391700.4,87837424.74,21.15,100.7596531,4,5.29
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57,service13,4.64,5.54,high,7223826715,4.87,351800361,251320243,28.56,109.0596244,4,7.79
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57,service17,3.4,6.44,low,6214285714,1.92,119314285.7,108168542.1,9.34,131.376,5,6.55
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57,service18,3,7.78,middle,5143958869,2.38,122426221.1,98083731.27,19.88,105.1919585,4,0.61
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57,service21,3.13,7.79,middle,5137355584,2.3,118159178.4,91917673.21,22.21,109.8913439,4,1.6
client43,middle,North America,53928192.45,24,1.4,754994.69,350533.25,404461.44,53.57,service26,3.98,7.05,low,5676595745,1.87,106152340.4,96099275.13,9.47,157.4807469,6,1.72
